Name                                             Project                        Compat   Latest   Kind         Platform
wasm-bindgen-shared->unicode-ident               1.0.24                         Removed  Removed  Normal       ---
web-sys->js-sys                                  0.3.104                        0.3.105  0.3.105  Normal       ---
web-sys->wasm-bindgen                            0.2.127                        0.2.128  0.2.128  Normal       ---
web-time->js-sys                                 0.3.104                        0.3.105  0.3.105  Normal       cfg(all(target_family = "wasm", target_os = "unknown"))
web-time->wasm-bindgen                           0.2.127                        0.2.128  0.2.128  Normal       cfg(all(target_family = "wasm", target_os = "unknown"))
yamux->rand                                      0.8.8                          0.9.5    0.9.5    Normal       ---
zerocopy->zerocopy-derive                        0.8.56                         ---      Removed  Normal       ---
zerocopy-derive->proc-macro2                     1.0.107                        ---      Removed  Normal       ---
zerocopy-derive->quote                           1.0.47                         ---      Removed  Normal       ---
zerocopy-derive->syn                             2.0.119                        ---      Removed  Normal       ---
zeroize->zeroize_derive                          1.5.0                          ---      Removed  Normal       ---
zeroize_derive->proc-macro2                      1.0.107                        ---      Removed  Normal       ---
zeroize_derive->quote                            1.0.47                         ---      Removed  Normal       ---
zeroize_derive->syn                              2.0.119                        ---      Removed  Normal       ---
zerovec-derive->syn                              3.0.4                          3.0.5    3.0.5    Normal       ---
Exit code: 0
